# Arduino DAQ Data,
# Date: 2026-01-23 16:15:28,
# Device: Arduino Uno,
# Port: /dev/cu.usbmodem1101,
# Baud Rate: 115200,
# Requested Sample Rate: 500.0 Hz,
# Effective Sample Rate: 500.00 Hz,
# Duration: 30.0 s,
# Number of Samples: 786,
# ADC Reference Voltage: 5.0 V,
# ADC Max Value: 1023,
# Channels: ch0_V,
#,
time_s,ch0_V
0,3.450635386
0.002,3.460410557
0.004,3.465298143
0.006,3.455522972
0.008,3.455522972
0.01,3.460410557
0.012004,3.470185728
0.014,3.455522972
0.016004,3.450635386
0.018004,3.455522972
0.02,3.470185728
0.022,3.465298143
0.024,3.450635386
0.026,3.450635386
0.028,3.465298143
0.03,3.465298143
0.032,3.455522972
0.034,3.450635386
0.036,3.470185728
0.038,3.465298143
0.04,3.455522972
0.042,3.450635386
0.044,3.465298143
0.046,3.470185728
0.048,3.460410557
0.05,3.450635386
0.052,3.460410557
0.054,3.465298143
0.056,3.460410557
0.058,3.450635386
0.06,3.460410557
0.062,3.470185728
0.064,3.460410557
0.066,3.450635386
0.068,3.455522972
0.07,3.470185728
0.072,3.460410557
0.074,3.455522972
0.076,3.450635386
0.078,3.470185728
0.08,3.460410557
0.082,3.455522972
0.084,3.450635386
0.086,3.470185728
0.088,3.465298143
0.09,3.455522972
0.092,3.450635386
0.094,3.465298143
0.096,3.465298143
0.098,3.460410557
0.1,3.455522972
0.102,3.460410557
0.104,3.465298143
0.106,3.455522972
0.108,3.455522972
0.11,3.460410557
0.112,3.470185728
0.114004,3.460410557
0.116,3.450635386
0.118,3.455522972
0.12,3.470185728
0.122,3.465298143
0.124,3.455522972
0.126,3.455522972
0.128,3.470185728
0.13,3.465298143
0.132,3.455522972
0.134,3.455522972
0.136,3.470185728
0.138004,3.465298143
0.140004,3.455522972
0.142,3.450635386
0.144004,3.465298143
0.146004,3.470185728
0.148,3.460410557
0.15,3.450635386
0.152,3.460410557
0.154,3.465298143
0.156,3.460410557
0.158,3.450635386
0.16,3.460410557
0.162,3.470185728
0.164,3.460410557
0.166,3.450635386
0.168,3.455522972
0.17,3.470185728
0.172,3.460410557
0.174,3.455522972
0.176,3.455522972
0.178,3.470185728
0.18,3.460410557
0.182,3.455522972
0.184,3.455522972
0.186,3.470185728
0.188004,3.465298143
0.190004,3.455522972
0.192,3.450635386
0.194,3.465298143
0.196,3.470185728
0.198,3.460410557
0.2,3.455522972
0.202,3.460410557
0.204,3.470185728
0.206,3.455522972
0.208,3.450635386
0.21,3.460410557
0.212,3.475073314
0.214,3.460410557
0.216,3.450635386
0.218,3.455522972
0.22,3.470185728
0.222,3.465298143
0.224,3.455522972
0.226,3.455522972
0.228,3.470185728
0.23,3.465298143
0.232,3.450635386
0.234,3.455522972
0.236,3.470185728
0.238,3.470185728
0.24,3.460410557
0.242,3.450635386
0.244,3.465298143
0.246,3.470185728
0.248,3.460410557
0.25,3.450635386
0.252,3.465298143
0.254,3.465298143
0.256,3.455522972
0.258,3.455522972
0.26,3.460410557
0.262,3.470185728
0.264,3.465298143
0.266,3.455522972
0.268,3.455522972
0.27,3.470185728
0.272,3.465298143
0.274,3.460410557
0.276,3.455522972
0.278,3.475073314
0.28,3.465298143
0.282,3.455522972
0.284,3.450635386
0.286,3.470185728
0.288,3.470185728
0.29,3.460410557
0.292,3.450635386
0.294,3.465298143
0.296,3.465298143
0.298,3.460410557
0.3,3.455522972
0.302,3.465298143
0.304,3.470185728
0.306,3.455522972
0.308,3.450635386
0.31,3.460410557
0.312,3.470185728
0.314,3.460410557
0.316,3.455522972
0.318,3.455522972
0.32,3.465298143
0.322,3.460410557
0.324,3.455522972
0.326,3.455522972
0.328,3.470185728
0.33,3.465298143
0.332,3.455522972
0.334,3.450635386
0.336,3.470185728
0.338,3.465298143
0.34,3.455522972
0.342,3.450635386
0.344,3.465298143
0.346,3.465298143
0.348,3.450635386
0.35,3.455522972
0.352,3.465298143
0.354,3.470185728
0.356,3.455522972
0.358,3.450635386
0.36,3.460410557
0.362,3.470185728
0.364,3.460410557
0.366,3.455522972
0.368,3.460410557
0.37,3.465298143
0.372,3.460410557
0.374,3.455522972
0.376,3.455522972
0.378,3.475073314
0.38,3.465298143
0.382,3.455522972
0.384,3.455522972
0.386,3.470185728
0.388,3.470185728
0.39,3.460410557
0.392,3.450635386
0.394,3.465298143
0.396,3.465298143
0.398,3.460410557
0.4,3.450635386
0.402,3.465298143
0.404,3.470185728
0.406,3.455522972
0.408,3.450635386
0.41,3.460410557
0.412,3.470185728
0.414,3.460410557
0.416,3.455522972
0.418,3.455522972
0.42,3.470185728
0.422,3.465298143
0.424,3.455522972
0.426,3.455522972
0.428,3.470185728
0.43,3.465298143
0.432,3.455522972
0.434,3.455522972
0.436,3.470185728
0.438,3.470185728
0.44,3.455522972
0.442,3.455522972
0.444,3.470185728
0.446,3.465298143
0.448,3.455522972
0.45,3.455522972
0.452,3.465298143
0.454,3.470185728
0.456,3.460410557
0.458,3.450635386
0.46,3.460410557
0.462,3.470185728
0.464,3.460410557
0.466,3.455522972
0.468,3.455522972
0.47,3.470185728
0.472,3.460410557
0.474,3.455522972
0.476,3.455522972
0.478,3.470185728
0.48,3.465298143
0.482,3.455522972
0.484,3.450635386
0.486,3.465298143
0.488,3.465298143
0.49,3.455522972
0.492,3.455522972
0.494,3.470185728
0.496,3.470185728
0.498,3.455522972
0.5,3.455522972
0.502,3.465298143
0.504,3.470185728
0.506004,3.460410557
0.508,3.450635386
0.51,3.460410557
0.512,3.470185728
0.514,3.460410557
0.516,3.455522972
0.518,3.460410557
0.520004,3.470185728
0.522004,3.460410557
0.524,3.455522972
0.526,3.455522972
0.528,3.470185728
0.53,3.465298143
0.532,3.455522972
0.534,3.450635386
0.536,3.470185728
0.538,3.465298143
0.54,3.455522972
0.542,3.455522972
0.544,3.465298143
0.546,3.465298143
0.548,3.455522972
0.55,3.450635386
0.552,3.465298143
0.554,3.470185728
0.556,3.460410557
0.558,3.450635386
0.56,3.460410557
0.562,3.465298143
0.564,3.460410557
0.566,3.455522972
0.568,3.460410557
0.57,3.470185728
0.572,3.460410557
0.574,3.450635386
0.576,3.455522972
0.578,3.475073314
0.58,3.465298143
0.582,3.455522972
0.584,3.450635386
0.586,3.465298143
0.588,3.465298143
0.59,3.455522972
0.592,3.455522972
0.594,3.470185728
0.596,3.465298143
0.598,3.455522972
0.600004,3.450635386
0.602,3.465298143
0.604,3.470185728
0.606,3.460410557
0.608,3.450635386
0.610004,3.465298143
0.612,3.470185728
0.614,3.460410557
0.616,3.455522972
0.618004,3.460410557
0.62,3.470185728
0.622,3.460410557
0.624,3.450635386
0.626004,3.455522972
0.628,3.470185728
0.63,3.465298143
0.632,3.455522972
0.634004,3.455522972
0.636,3.465298143
0.638,3.460410557
0.64,3.455522972
0.642,3.455522972
0.644,3.470185728
0.646004,3.465298143
0.648,3.455522972
0.65,3.450635386
0.652,3.465298143
0.654,3.465298143
0.656,3.460410557
0.658,3.450635386
0.66,3.460410557
0.662,3.465298143
0.664,3.460410557
0.666,3.455522972
0.668,3.460410557
0.67,3.470185728
0.672,3.460410557
0.674004,3.450635386
0.676,3.460410557
0.678,3.470185728
0.68,3.465298143
0.682004,3.455522972
0.684,3.455522972
0.686,3.465298143
0.688,3.465298143
0.690004,3.455522972
0.692,3.455522972
0.694004,3.470185728
0.696,3.470185728
0.698,3.455522972
0.7,3.450635386
0.702,3.465298143
0.704,3.465298143
0.706,3.460410557
0.708,3.455522972
0.71,3.460410557
0.712004,3.465298143
0.714,3.455522972
0.716,3.450635386
0.718004,3.460410557
0.72,3.470185728
0.722,3.460410557
0.724,3.450635386
0.726004,3.455522972
0.728,3.470185728
0.73,3.465298143
0.732,3.455522972
0.734,3.455522972
0.736,3.470185728
0.738004,3.465298143
0.74,3.455522972
0.742,3.455522972
0.744,3.470185728
0.746004,3.470185728
0.748,3.460410557
0.75,3.450635386
0.752,3.465298143
0.754004,3.465298143
0.756,3.460410557
0.758,3.450635386
0.76,3.460410557
0.762,3.470185728
0.764,3.460410557
0.766004,3.455522972
0.768,3.460410557
0.770004,3.470185728
0.772004,3.460410557
0.774,3.450635386
0.776004,3.455522972
0.778004,3.475073314
